WKT,gid,addr:housename,addr:housenumber,aeroway,amenity,brand,building,disused,layer,name,operator,ref,tourism
"POINT (-57.6757708 -36.317201800186)","8891485203",,,,hospital,,,,,Consultorios del Valle,,,
"POINT (-56.7257347 -36.3581334001955)","1069283053",,"505",,hospital,,,,,Hospital General de Agudos,,,
"POINT (-56.688315 -36.5759812002465)","4106925714",,,,hospital,,,,,Unidad Sanitaria,,,
"POINT (-56.7145921 -36.5427407002387)","7412865589",,,,hospital,,,,,,,,
"POINT (-56.6826984 -36.7634076002903)","1583166346",,,,hospital,,,,,Sala de Primeros Auxilios,,,
"POINT (-56.6789634 -36.6887998002729)","3921158746",,,,hospital,,,,,Centro Médico Santa María,,,
"POINT (-56.8857974 -37.1245236003745)","4106694292",,,,hospital,,,,,Sala de Atención Primaria de Ostende,SLDF,,
"POINT (-56.9064061 -37.1371888003774)","3338505110",,,,hospital,,,,,Sala de Primeros Auxilios de Valeria del Mar,,,
"POINT (-57.6092619 -37.9724806005655)","4477477204",,"9048",,hospital,,,,,sociedad de fomento Jorge Newbery,,,
"POINT (-57.5530589 -38.0015428005718)","8826075544",,"2167",,hospital,,,,,CI.LAP Obesidad,,,
"POINT (-57.5516277 -38.002524300572)","1236954451",,"2749",,hospital,,,,, Clínica del Niño y la Madre,,,
"POINT (-57.5712222 -38.0479615005818)","3823685795",,"2200",,hospital,,,,,"Sala de Primeros Auxilios ""José Coelho de Meyrelles",Municipalidad de Gral. Pueyrredon,,
"POINT (-58.7613517 -38.5385394006834)","1272484058",,"4801",,hospital,,,,,Hospital Municipal,,,
"POINT (-58.2514732 -37.8529609005394)","1104084418",,,,hospital,,,,,Hospital Municipal,,,
"POINT (-59.3957822 -37.6713386004992)","5440714993",,,,hospital,,,,,,,,
"POINT (-59.3874937 -37.6408754004924)","2073750907",,,,hospital,,,,,Sala de primeros auxilios,,,
"POINT (-59.6191282 -38.3525140006458)","6222248534",,"1170",,hospital,,,,,Hospital Municipal San Cayetano,,,
"POINT (-60.2697288 -38.3619739006478)","4103114681",,,,hospital,,,,,Sala Sanitaria,,,
"POINT (-60.2617005 -38.3717911006498)","4095479889",,,,hospital,,,,,Hospital Municipal Doctor Ignacio Pirovano,,,
"POINT (-60.1009383 -38.0336575005787)","1273834857",,,,hospital,,,,,Clínica Gonzáles Chaves,,,
"POINT (-60.1614234 -36.8612874003132)","2517023174",,,,hospital,,,,,,,,
"POINT (-60.0185099 -36.3627258001966)","6238256353",,"961",,hospital,,,,,Hospital Municipal de Tapalqué,,,
"POINT (-60.0094994 -36.0185772001166)","1397531502",,,,hospital,,,,,,,,
"POINT (-59.3251605 -35.4029803999767)","2394996785",,,,hospital,,,,,Hospital Doctor Ramón Carrillo,,,
"POINT (-59.6336737 -35.2675782999468)","5854865851",,,,hospital,,,,,Centro de Salud y Hospital Básico de Pedernales,,,
"POINT (-59.7711751 -35.6380198000294)","2127383835",,"2800",,hospital,,,,,Dr. Alejandro Posadas,,,
"POINT (-61.6125588 -35.3335559999613)","1666765879",,,,hospital,,,,,Sala de Primeros Auxilios,,,
"POINT (-62.1941829 -35.6402423000299)","4097306884",,,,hospital,,,,,Sala de Primeros Auxilios,,,
"POINT (-61.533877 -35.9179650000933)","7792982566",,,,hospital,,,,,"Unidad sanitaria ""Rodolfo Espil""",,,
"POINT (-61.3349004 -35.7706572000596)","6458712847",,,,hospital,,,,,Sala de Primeros Auxilios “Maximiliano Bentancor”,,,
"POINT (-61.7130862 -36.2984366001816)","7537524498",,,,hospital,,,,,Sala Ramón Carrillo,,,
"POINT (-62.7366447 -35.9707776001055)","1741070652",,,,hospital,,,,,Clínica Trenque Lauquen,,,
"POINT (-62.7226099 -35.9608498001032)","5054709766",,"1100",,hospital,,,,,"Centro de Salud ""Ramón Carrillo""",,,
"POINT (-62.7307368 -35.9742059001063)","1809322912",,,,hospital,,,,,Anexo Hospital Municipal,,,
"POINT (-63.2150576 -35.2742688999483)","6228482128",,,,hospital,,,,,,,,
"POINT (-63.7593712 -35.6742867000376)","7369011136",,,,hospital,,,,,Ctro. de Salud Dr. Mauricio Knobel,,,
"POINT (-63.7653261 -35.6736076000375)","7396447181",,,,hospital,,,,,Hospital de Campaña,,,
"POINT (-63.7594712 -35.6700562000367)","7369011129",,,,hospital,,,,,Ctro. de Salud Dr. Salvador Abudara,,,
"POINT (-63.7624406 -35.6595260000343)","7369011135",,,,hospital,,,,,Ctro. Integracion Comunitaria,,,
"POINT (-63.7514156 -35.671481200037)","7369011132",,,,hospital,,,,,Ctro. de Salud Barrio Este,,,
"POINT (-63.7659609 -35.6729150000373)","4216368615",,,,hospital,,,,,Hospital Gobernador Centeno,,,
"POINT (-63.7736747 -35.6710461000369)","7369011130",,"814",,hospital,,,,,Centro de Salud Guillermo Brown,,,
"POINT (-63.7753851 -35.6595399000343)","7369011134",,,,hospital,,,,,Ctro. de Salud Barrio Rucci,,,
"POINT (-63.7540868 -35.6403369000299)","7369011133",,,,hospital,,,,,Centro de Salud Barrio Federal,,,
"POINT (-63.8186437 -35.5472021000089)","7369208891",,,,hospital,,,,,Ctro. de Salud Domingo Gabred,,,
"POINT (-64.4643523 -35.3842972999725)","3979831424",,,,hospital,,,,,Hospital Dr. Justo Ferrari,,,
"POINT (-64.2849319 -35.3869539999731)","5615969465",,"338",,hospital,,,,,Ctro. de Salud Samuel Halfon,,,
"POINT (-64.7701228 -35.6501215000321)","7391370473",,,,hospital,,,,,Centro de Salud de Pichihunca,,,
"POINT (-64.3801491 -36.6713535002688)","5635842106",,"1150",,hospital,,,,,Hospital Dr. Segundo Taldriz,,,
"POINT (-64.3337383 -36.6281223002587)","4404126070",,,,hospital,,,,,Centro de Salud Barrio Los Hornos,,,
"POINT (-64.3094423 -36.6325814002597)","4404165611",,"1492",,hospital,,,,,Centro de Salud Villa Parque Enfermera Juana Guzman,,,
"POINT (-64.3029674 -36.6347489002602)","4404165612",,"1765",,hospital,,,,,Centro de Sauld Doctor Guillermo Furst EC,,,
"POINT (-64.2606479 -36.6442959002625)","4379745232",,,,hospital,,,,,Centro de Salud Reconversión,,,
"POINT (-64.2707222 -36.6298417002591)","7369196276",,,,hospital,,,,,Ctro. de Salud Barrio Matadero,,,
"POINT (-64.2887167 -36.5850806002486)","7369196273",,,,hospital,,,,,Ctro. de Salud Armando Miranda MA (Obreros de la constr),,,
"POINT (-63.6037721 -37.9845589005681)","6439913862",,,,hospital,,,,,Hospital Doctor Luis Agote,,,
"POINT (-63.8511443 -37.8962320005489)","7361653147",,,,hospital,,,,,Centro de Salud de Abramo,,,
"POINT (-64.5963033 -37.3672648004304)","4214166687",,,,hospital,,,,,Centro Asistencial Padre Ángel Buodo,,,
"POINT (-65.9138167 -38.1469333006029)","7369196283",,,,hospital,,,,,Ctro. De Salud Puelches,,,
"POINT (-64.6431631 -38.3354584006423)","7368965332",,,,hospital,,,,,Centro de Salud de Cuchillo Co,,,
"POINT (-63.1388185 -38.8932412007515)","3091941753",,"640",,hospital,,,,,Hospital Menor Antonio D. Bertoni,,,
"POINT (-63.4247762 -38.0852037005898)","5509844277",,"210",,hospital,,,,,Hospital Dr Juan Munuce,,,
"POINT (-63.5477165 -37.6652189004978)","1321982556",,"158",,hospital,,,,,Hospital Dr. Manuel Freire,,,
"POINT (-63.4299731 -37.5753566004776)","7368965334",,"482",,hospital,,,,,Centro de Salud Doctor Alejandro Rost,,,
"POINT (-63.4141584 -37.1662421003841)","3830134412",,,,hospital,,hospital,,,Hospital Dr. Diego B. Morón,,,
"POINT (-63.2373152 -37.1622413003832)","6124358807",,,,hospital,,,,,Hospital Noé Yarcho,,,
"POINT (-62.8041579 -37.3929295004363)","3040120304",,,,hospital,,,,,Sala de Primeros Auxilios,,,
"POINT (-62.3323659 -37.9772850005666)","1309568110",,,,hospital,,,,,Sala Médica,,,
"POINT (-62.3477634 -37.7624711005195)","4888392214",,"418",,hospital,,,,,Hospital Municipal Dr. Miguel Svarch,,,
"POINT (-62.3974427 -37.6040300004841)","1320243428",,,,hospital,,,,,Hospital Municipal,,,
"POINT (-61.938868 -37.4545587004503)","2400684410",,,,hospital,,,,,Hospital Municipal “Doctor Raúl Caccavo”,,,
"POINT (-62.1066703 -37.4855676004573)","10767734387",,,,hospital,,,,,,,,
"POINT (-61.9212515 -37.5065504004621)","2156506444",,,,hospital,,,,,Sala de primeros auxilios,,,
"POINT (-62.2787682 -38.7172210007184)","2767043697",,,,hospital,,,,,Hospital de la Asociación Médica - Guardia,,,
"POINT (-62.2840737 -38.7342496007216)","3823157777",,"1637",,hospital,,,,,Sala Médica Noroeste,,,
"POINT (-62.2381725 -38.7471067007241)","4105843718",,"2980",,hospital,,,,,Unidad sanitaria Villa Esperanza,,,
"POINT (-61.5529783 -38.9950473007701)","1278234559",,,,hospital,,,,,Sala Médica,,,
"POINT (-62.6164271 -39.9233941009149)","7007128825",,Santiago Olivera,,hospital,,,,,Centro de Atención Primaria de la Salud Barrio Urquijo,Municipalidad de Patagones,,
"POINT (-62.6177906 -39.9176839009142)","1387955615",,"168",,hospital,,,,,Hospital Municipal Eduardo Arancibia,Municipalidad de Patagones,,
"POINT (-62.6474217 -39.3762788008352)","3261739527",,,,hospital,,,,,Centro Asistencial de Salud,,,
"POINT (-65.6598595 -39.2914855008213)","2352488508",,"863",,hospital,,,,,Matherday,,,
"POINT (-64.9623784 -40.7340357009976)","7500247821",,,,hospital,,,,,"CAPS ""Doctor Elvio Yorio""",,,
"POINT (-63.1269278 -41.1540583010213)","3965272039",,,,hospital,,,,,Centro de Salud La Lobería,,,
"POINT (-65.8880088 -47.7463292994565)","1396605440",,,,hospital,,,,,Centro Asistencial,,,
"POINT (-65.329114 -43.2514230009099)","1399412210",,,,hospital,,,,,"Centro de Salud ""Jorge Morado""",,,
"POINT (-65.3219053 -43.2523401009098)","1399412207",,,,hospital,,,,,Centro de Salud La Loma,,,
"POINT (-65.3173392 -43.2567180009091)","1329309273",,,,hospital,,,,,Clinica San Miguel,,,
"POINT (-65.3165222 -43.2562792009092)","4696237113",,,,hospital,,,,,CEM Hematología,,,
"POINT (-65.312927 -43.2563914009092)","4696228958",,"506",,hospital,,,,,CEM Ameghino,,,
"POINT (-65.3150376 -43.2556605009093)","3036031511",,,,hospital,,,,,Hospital Zonal Trelew Centro Materno Infantil,,,
"POINT (-65.3147629 -43.2560824009092)","1329309240",,,,hospital,,,,,Sanatorio Trelew,,,
"POINT (-65.3190544 -43.2615106009084)","3097214953",,,,hospital,,,,,Centro de Salud Sarmiento,,,
"POINT (-65.3366488 -43.2582973009089)","1399412206",,,,hospital,,,,,Centro de Salud Pascual Daleoso,,,
"POINT (-65.3185346 -43.2434260009111)","1399413545",,,,hospital,,,,,Centro de Salud Ingeniero Franzetti,,,
"POINT (-65.3051039 -43.2392933009118)","1399413548",,,,hospital,,,,,Centro de Salud Tiro Federal,,,
"POINT (-65.3075853 -43.2449890009109)","3285294189",,,,hospital,,,,,Centro Rehabilitación Disminuidos Visuales,,,
"POINT (-65.3048266 -43.2421548009113)","1399413549",,,,hospital,,,,,Centro de Salud Gwenda Williams,,,
"POINT (-65.2848401 -43.244331100911)","3097228668",,,,hospital,,,,,Centro de Salud Planta de Gas,,,
"POINT (-65.082452 -43.2942512009034)","3819842215",,,,hospital,,,,,Centro de Salud Area 25,,,
"POINT (-65.0337319 -42.7710746009713)","1390308828",,"651",,hospital,,,,,Sanatorio Santa María,,,
"POINT (-65.0257705 -42.7852858009698)","6285040286",,,,hospital,,,,,Centro de salud Doctor Carrillo,,,
"POINT (-70.5502393 -42.7192500009766)","7376735340",,,,hospital,,,,,Hospital Rural Gualjaina,,,
"POINT (-69.0709348 -45.5864669003143)","4486170535",,"788",,hospital,,,,,Hospital Rural Sarmiento,Público provincial,,
"POINT (-67.6693654 -45.7787611002461)","6083737092",,,,hospital,,,,,Hospital Rural Diadema Argentina,,,
"POINT (-67.4945067 -45.8640138002152)","3067751226",,,,hospital,,,,,Clinica del Valle,,,
"POINT (-67.4833514 -45.8614857002161)","1514163029",,,,hospital,,,,,Clinica Española,,,
"POINT (-67.5546674 -45.9195830001948)","1179204583",,,,hospital,,,,,Hospital Rural Rada Tilly,,,
"POINT (-67.5599807 -46.4471598999928)","2157691290",,,,hospital,,,,,CIC Jorge Cépernic,,,
"POINT (-67.5114978 -46.4426878999946)","2157691107",,,,hospital,,,,,Clinica Santa Cruz,,,
"POINT (-67.5170424 -46.4377958999965)","2198217295",,,,hospital,,,,,CIC Centro,,,
"POINT (-67.5390135 -46.4473371999927)","2156135738",,,,hospital,,,,,CIC San Cayetano,,,
"POINT (-67.5183824 -46.4646365999859)","2157691293",,,,hospital,,,,,CIC Emilio Papousek,,,
"POINT (-67.9649946 -46.7932872998537)","2245231637",,,,hospital,,,,,CIC Huemul,,,
"POINT (-68.9224858 -46.5496236999521)","1333703168",,,,hospital,,,,,Hospital Distrital Las Heras,,,
"POINT (-71.6257856 -46.5483177999526)","1920813156",,,,hospital,,,,,Hospital Seccional Los Antiguos Dr. Reinaldo Bimbi,,,
"POINT (-71.5215533 -45.5532095003259)","2540470254",,,,hospital,,,,,Puesto sanitario Aldea Beleiro,,,
"POINT (-70.8244891 -45.0413692004938)","7376735338",,,,hospital,,,,,Hospital Rural Rio Senguer,,,
"POINT (-71.3653568 -44.1824282007291)","7376735337",,,,hospital,,,,,Hospital Rural Dra Thalina Riasnianski -Rio Pico,,,
"POINT (-71.4724964 -43.5357880008633)","6267130596",,,,hospital,,,,,,,,
"POINT (-71.469416 -43.5409470008624)","7376735333",,,,hospital,,,,,Hospital Rural Corcovado,,,
"POINT (-71.3177783 -42.899908600957)","3817865745",,,,hospital,,,,,Salita Bª Bella Vista,Silvina Nardo,,
"POINT (-70.9131734 -39.235492100812)","4397221694",,,,hospital,,,,,Hospital De Area Alumine,,,
"POINT (-71.0775229 -39.7306915008888)","3591080667",,,,hospital,,,,,Posta Sanitaria,,,
"POINT (-71.3073273 -41.1363678010206)","6388419950",,"436",,hospital,,,,,Instituto Materno Infantil,,,
"POINT (-71.3207061 -41.1324686010205)","7502004804",,"1000",,hospital,,,,,Sanatorio San Carlos S.A,Privado,,
"POINT (-71.3721758 -42.2290009010145)","4376693536",,,,hospital,,,,,Hospital Rural Epuyén,Andrea López,,
"POINT (-71.5973642 -42.0587960010224)","2867814452",,,,hospital,,,,,Hospital Rural Lago Puelo,,,
"POINT (-71.5974712 -42.0587935010224)","10597904118",,,,hospital,,,,,Hospital Rural de Lago Puelo,,,
"POINT (-69.22034 -42.2650191010125)","3203988094",,,,hospital,,,,,Hospital Rural Gastre,,,
"POINT (-67.4040571 -42.273381001012)","3392791392",,,,hospital,,,,,Puesto Sanitario,,,
"POINT (-66.9395256 -42.4371325010012)","6267118052",,,,hospital,,,,,Hospital Rural Telsen,,,
"POINT (-70.0333363 -38.4066504006569)","7376909750",,,,hospital,,,,,Hospital De Area Bajada Del Agrio,,,
"POINT (-68.2613782 -38.9483638007616)","4479951733",,,,hospital,,,,,Centro de Salud BªLa Esperanza,,,
"POINT (-66.4359613 -38.7411650007229)","7391073673",,,,hospital,,,,,Centro de Salud de Gdor. Duval,,,
"POINT (-66.2275785 -37.5507214004721)","4094742667",,,,hospital,,,,,Centro de Salud de La Reforma,,,
"POINT (-66.6761298 -37.1594004003826)","7369208890",,,,hospital,,,,,Centro de Salud de Limay Mahuida,,,
"POINT (-67.6180251 -37.3428932004248)","4096270650",,,,hospital,,,,,Centro de Salud de Puelén,,,
"POINT (-68.1680846 -36.7822369002948)","7365894857",,,,hospital,,,,,Ctro. de Salud de Chosmalal,,,
"POINT (-66.9557905 -36.9450730003328)","7361653142",,,,hospital,,,,,Posta Sanitaria Arbol de La Esperanza,,,
"POINT (-66.4769626 -36.6365542002607)","7361653141",,,,hospital,,,,,Posta Sanitaria de Arbol Solo,,,
"POINT (-66.9401667 -36.2306444001658)","7369196278",,,,hospital,,,,,Ctro. de Salud Dr. Manuel Perez,,,
"POINT (-66.4453654 -35.881559600085)","5266101809",,,,hospital,,,,,CAPS Los Overos,,,
"POINT (-69.880078 -37.0455534003561)","5214792108",,,,hospital,,,,,Hospital Buta Ranquil,,,
"POINT (-70.3252466 -37.0453875003561)","4349341405",,,,hospital,,,,,Hospital De Area Tricao Malal,,,
"POINT (-69.5867195 -35.4713480999919)","1281667901",,,,hospital,,,,,Clínica San Francisco,,,
"POINT (-69.1442578 -30.2144395993201)","7385695222",,,,hospital,,,,,Hospital Tomás Perón,,,
"POINT (-68.4850661 -30.1566635993198)","2677240771",,,,hospital,,,,,Hospital Buenaventura Luna,,,
"POINT (-67.619134 -27.6875303994407)","1796556340",,,,hospital,,,,,,,,
"POINT (-67.6233977 -27.6921235994402)","1796556342",,,,hospital,,,,,,,,
"POINT (-67.5850324 -28.041176199409)","3733896229",,,,hospital,,,,,Posta Sanitaria,,,
"POINT (-67.5622617 -28.064372699407)","1446731578",,,,hospital,,,,,Clínica Virgen del Valle,,,
"POINT (-67.5662647 -28.0672558994068)","1446713900",,,,hospital,,,,,Hospital Zonal (Emergencias),,,
"POINT (-67.5689618 -28.0666400994068)","1446668271",,,,hospital,,,,,Hospital Sanitario Zonal De Tinogasta San Juan Bautista,,,
"POINT (-67.565769 -28.0631315994071)","2498531328",,,,hospital,,,,,Sanatorio San Roque,,,
"POINT (-67.0297196 -27.6466904994446)","2128375817",,,,hospital,,,,,Hospital Sanitario Zonal De Belen Dr. Segundo Muñiz,,,
"POINT (-66.3173645 -27.5882730994503)","4129582490",,,,hospital,,,,,Hospital Sanitario Zonal Dr. Jose Chain Herrera De Andalgala,,,
"POINT (-67.5018219 -29.4974292993271)","7387098574",,,,hospital,,,,,Hospital Seccional Victor Pedernera Vichigasta,,,
"POINT (-67.5049656 -29.3012960993331)","3733860856",,,,hospital,,,,,Hospital Seccional Nonogasta,,,
"POINT (-67.601234 -29.3213409993324)","7387098582",,,,hospital,,,,,Hospital Seccional Sañogasta,,,
"POINT (-67.6030648 -29.3220818993324)","5468326205",,,,hospital,,,,,Hospital de Sañogasta,,,
"POINT (-68.2099683 -29.3156979993326)","5187401969",,,,hospital,,,,,"Centro de salud ""Barrio Valdivielso""",,,
"POINT (-68.1019479 -29.543744999326)","7387098572",,,,hospital,,,,,Hospital Seccional Pagancillo,,,
"POINT (-66.2392785 -33.2269935995613)","5581371368",,,,hospital,,,,,centro de salud de potrero de los funes,,,
"POINT (-66.3157586 -33.1632285995517)","7722128589",,,,hospital,,,,,Low Price,,,
"POINT (-66.5200994 -33.1397801995482)","570751791",,,,hospital,,,,,,,,
"POINT (-66.8445685 -32.8779090995112)","570758408",,,,hospital,,,,,Centro de Salud,,,
"POINT (-68.5126933 -31.5332988993714)","3529531043",,"952",,hospital,,,,,Clinica El Castaño,,,
"POINT (-68.5216887 -31.5438845993721)","7385695221",,,,hospital,,,,,Instituto Modelo de Cirugia Infantil - Consultorios Externos Y Hospital De Dia,,,
"POINT (-68.5190451 -31.5426554993721)","3524703604",,"735",,hospital,,,,,Sanatorio Virgen de Lourdes,,,
"POINT (-68.3196428 -31.688576199383)","3814703171",,,,hospital,,,,,,,,
"POINT (-69.4186324 -31.3328136993581)","7385695223",,,,hospital,,,,,Hospital Doctor Aldo Cantoni,,,
"POINT (-69.4715737 -31.6441213993796)","3735291240",,,,hospital,,,,,Hospital Barreal,,,
"POINT (-68.7149821 -32.8473858995071)","4167760252",,,,hospital,,,,,sin numero,,,
"POINT (-68.773486 -32.8427391995064)","4515200798",,"1372",,hospital,,,,,Hospital Geriátrico Dr. Héctor Elías Gailhac,,,
"POINT (-68.8129166 -32.8642865995093)","4377405882",,,,hospital,,,,,"Centro de Salud Nº 25 ""Monteavaro""",,,
"POINT (-68.826533 -32.9105049995156)","2001612190",,,,hospital,,,,,Centro de Salud N°15,,,
"POINT (-68.8590628 -32.9459838995205)","4211069608",,,,hospital,,,,,Centro de Salud Municipal N° 1 Fuchs,,,
"POINT (-68.4572554 -33.2674048995674)","2610193842",,,,hospital,,,,,Sala La Florida,,,
"POINT (-68.5652178 -33.0506775995353)","2956797616",,,,hospital,,,,,,,,
"POINT (-68.5395081 -34.5808639998019)","3343199756",,,,hospital,,,,,Centro de Salud,,,
"POINT (-68.3562257 -34.6627575998185)","4372991549",,,,hospital,,,,,"Centro de Salud N° 320 ""Dr. Alberto Castellanos""",,,
"POINT (-68.3353028 -34.6264196998111)","1374830295",,"950",,hospital,,,,,Hospital Español,,,
"POINT (-68.3255308 -34.6204331998099)","7907172883",,,,hospital,,,,,Hospital Teodoro J. Schestakow,,,
"POINT (-66.6380829 -33.7567253996472)","8376710457",,,,hospital,,,,,Centro de Atencion Primaria de la Salu,,,
"POINT (-64.6015435 -33.6180855996236)","7509457605",,"537",,hospital,,,,,Hospital Municipal Tomás Ponsone,Municipal,,
"POINT (-56.9419573 -36.4062032002068)","5830992756",,"1064",,hospital,,,,,Hospital Sagrado Corazón de Jesús,,,
"POINT (-56.7474872 -36.3402304001913)","1904515547",,,,hospital,,,,"3",Enfermería,,,
"POINT (-56.7333003 -36.7121254002783)","2385951684",,,,hospital,,,,,Unidad Sanitaria,,,
"POINT (-56.8648289 -37.1062696003702)","5675490813",,,,hospital,,,,,Clinica Del Bosque,,,
"POINT (-56.8673792 -37.1119316003716)","2631138665",,,,hospital,,,,,Policlinico Bunge,,,
"POINT (-57.64171 -38.0377136005796)","2973890405",,,,hospital,,,,,Unidad Sanitaria Parque Hermoso,,,
"POINT (-57.592212 -38.0342052005788)","4103895597",,,,hospital,,,,,"Subcentro de Salud ""El Martillo""",,,
"POINT (-57.5659887 -38.0217637005762)","2340975484",,,,hospital,,,,,HPC Area San Luis,,,
"POINT (-57.5652779 -38.0218694005762)","2340974405",,,,hospital,,,,,Entrada Urgencias HPC,,,
"POINT (-57.8552457 -38.2493752006245)","4480146582",,,,hospital,,,,,sala de primeros auxilios,,,
"POINT (-57.8440953 -38.2707614006289)","8235155550",,,,hospital,,,,,Hospital Municipal,,,
"POINT (-59.50723 -37.3993260004377)","6113702051",,,,hospital,,,,,Hospital Municipal Vela,,,
"POINT (-59.738035 -38.8085401007357)","1308342997",,,,hospital,,,,,Sala de Primeros Auxilios,,,
"POINT (-60.01261 -38.6930059007137)","1308237382",,,,hospital,,,,,Sala de Primeros Auxilios,,,
"POINT (-60.0702336 -38.8524222007439)","1271150091",,,,hospital,,,,,,,,
"POINT (-60.3414427 -38.8973876007523)","1308349934",,,,hospital,,,,,Sala de Primeros Auxilios,,,
"POINT (-60.1062976 -38.0239654005766)","1273750057",,,,hospital,,,,,Sala de Primeros Auxilios,,,
"POINT (-60.3219495 -36.9219402003274)","5982121078",,,,hospital,,,,,Jardín De Infantes 916 Islas Malvinas,,,
"POINT (-59.0963298 -36.0148481001157)","1965540823",,"324",,hospital,,,,,Instituto Privado de Diagnostico,,,
"POINT (-59.5153245 -35.5080392000001)","5777732913",,,,hospital,,,,,Unidad Sanitaria de Del Carril,,,
"POINT (-59.7770372 -35.6372662000293)","3540222645",,"2982",,hospital,,,,,Clínica Saladillo,,,
"POINT (-61.3643595 -35.6351793000288)","10883283805",,,,hospital,,,,,Hospital JF Ramos Carlos casares,,,
"POINT (-62.8601536 -36.4643436002204)","2957294187",,,,hospital,,,,,,,,
"POINT (-63.5224528 -36.8408056003084)","7369208894",,,,hospital,,,,,Ctro. De Salud de Tomas M. Anchorena,,,
"POINT (-63.3420549 -36.800621800299)","6254510679",,"476",,hospital,,,,,Hospital Demetrio Loyarte,,,
"POINT (-63.5925847 -35.2288225999383)","7384114966",,,,hospital,,,,,Hospital Reuman Enz,,,
"POINT (-63.5914191 -35.241063499941)","7369208888",,,,hospital,,,,,Ctro. de Salud Dr. Atilio Crenna,,,
"POINT (-63.7421239 -35.6635731000352)","7369011137",,,,hospital,,,,,Ctro. de Salud Energia y Progreso,,,
"POINT (-63.7161756 -35.7747678000605)","7368965331",,,,hospital,,,,,Centro de Salud de Dorila,,,
"POINT (-63.8583111 -36.1529974001477)","5610168713",,"994",,hospital,,,,,Hospital Wilfrid Baron,,,
"POINT (-64.2985337 -35.9102901000916)","4100873032",,,,hospital,,,,,Centro de Salud Mabel Cerrutti,,,
"POINT (-64.5971096 -36.0011062001125)","7368965333",,,,hospital,,,,,Ctro. de Salud Francisco del Callejo,,,
"POINT (-64.355582 -35.6376819000293)","7361653143",,,,hospital,,,,,Establecimiento Asistencial Aristides Granda,,,
"POINT (-64.51595 -37.1221278003739)","7369196280",,,,hospital,,,,,Ctro. de Salud Quehue,,,
"POINT (-64.2751774 -36.6553867002651)","7391370468",,,,hospital,,,,,Centro de Salud Barrio Escondido,,,
"POINT (-64.2884008 -36.6268041002584)","4103884066",,"852",,hospital,,,,,Clinica FAERAC,,,
"POINT (-64.2850879 -36.6286396002588)","3586073893",,,,hospital,,,,,Enfermería CPE Héctor Vendramini,,,
"POINT (-64.277575 -36.6053028002533)","7369196274",,,,hospital,,,,,Crto. Salud Barrio Aeropuerto Dra. M. Viola,,,
"POINT (-64.0144794 -36.5259245002348)","7361653144",,,,hospital,,,,,Centro de Salud Doctor Jose Curci,,,
"POINT (-63.6239515 -36.4674531002211)","5629636636",,"447",,hospital,,,,,Hospital Dr. Pablo Lecumberri,,,
